label,concurrency,worker,session_id,variant,call_index,kind,prompt_tokens,reuse_tokens,output_tokens,t_start_s,ttft_ms,e2e_ms,itl_ms_mean,server_prompt_tokens,server_output_tokens,server_cached_tokens,error
prefix-cache-off/full,1,0,exp-full-t1/billing-decimal__9BUpQ5q,full,28,agent,7654,7506,23,159.58062743900018,9777.960522000285,10694.898750999982,41.665632999989946,7654,23,,
prefix-cache-off/full,1,0,exp-full-t1/billing-decimal__9BUpQ5q,full,29,agent,8014,7650,62,170.53415259700023,10622.770820000369,13187.862444000075,42.044541950812736,8014,62,,
prefix-cache-off/full,1,0,exp-full-t1/config-deep-merge__YE5k6Xo,full,0,agent,734,578,23,183.72445928000025,194.31769800030452,749.9729220003246,25.243592909088296,734,23,,
prefix-cache-off/full,1,0,exp-full-t1/config-deep-merge__YE5k6Xo,full,1,agent,952,730,23,184.6510270409999,278.4157219998633,823.4603589999097,24.761731000001998,952,23,,
prefix-cache-off/full,1,0,exp-full-t1/config-deep-merge__YE5k6Xo,full,2,agent,1216,948,22,185.6119699750002,393.45910500014725,922.932180999851,25.189543571416703,1216,22,,
prefix-cache-off/full,1,0,exp-full-t1/config-deep-merge__YE5k6Xo,full,3,agent,1409,1212,25,186.67340384499994,522.2145200000341,1136.2189450001097,25.570595249992795,1409,25,,
prefix-cache-off/full,1,0,exp-full-t1/config-deep-merge__YE5k6Xo,full,4,agent,1543,1405,46,187.9833315420001,571.6452599999684,1728.0785200000537,25.689788733335362,1543,46,,
prefix-cache-off/full,1,0,exp-full-t1/config-deep-merge__YE5k6Xo,full,5,agent,1614,1539,25,190.1088590039999,570.660740999756,1205.8732139998938,26.45352070832511,1614,25,,
prefix-cache-off/full,1,0,exp-full-t1/config-deep-merge__YE5k6Xo,full,6,agent,1796,1610,30,191.532331633,743.3604779998859,1503.1476959998145,26.185259758629652,1796,30,,
prefix-cache-off/full,1,0,exp-full-t1/config-deep-merge__YE5k6Xo,full,7,agent,1870,1792,21,193.51885583600006,773.2267199999114,1282.5434310002493,25.45027515000129,1870,21,,
prefix-cache-off/full,1,0,exp-full-t1/config-deep-merge__YE5k6Xo,full,8,agent,2005,1866,24,194.94989422100025,864.1686030000528,1447.9558830003043,25.36796326087468,2005,24,,
prefix-cache-off/full,1,0,exp-full-t1/config-deep-merge__YE5k6Xo,full,9,agent,2122,2001,21,196.55633478400023,982.143927999914,1483.2776329999433,25.04087840000011,2122,21,,
prefix-cache-off/full,1,0,exp-full-t1/config-deep-merge__YE5k6Xo,full,10,agent,2284,2118,23,198.21521571099993,1108.3751719997963,1665.8867219998683,25.324691545454865,2284,23,,
prefix-cache-off/full,1,0,exp-full-t1/config-deep-merge__YE5k6Xo,full,11,agent,2429,2280,24,200.07062680900026,1229.9948949998907,1800.8979599999293,24.807685956523567,2429,24,,
prefix-cache-off/full,1,0,exp-full-t1/config-deep-merge__YE5k6Xo,full,12,agent,2521,2425,30,202.04751764799994,1318.8073400001485,2062.3323509998954,25.62702441378735,2521,30,,
prefix-cache-off/full,1,0,exp-full-t1/config-deep-merge__YE5k6Xo,full,13,agent,2710,2517,24,204.59868727399999,1470.6679669998266,2050.9592299999895,25.21582756522232,2710,24,,
prefix-cache-off/full,1,0,exp-full-t1/config-deep-merge__YE5k6Xo,full,14,agent,2864,2706,25,206.83123824299992,1620.711965999817,2230.7584209997913,25.401169208331947,2864,25,,
prefix-cache-off/full,1,0,exp-full-t1/config-deep-merge__YE5k6Xo,full,15,agent,3046,2860,106,209.29875847699986,1811.493390999658,4623.259542999676,26.774734990478812,3046,106,,
prefix-cache-off/full,1,0,exp-full-t1/config-deep-merge__YE5k6Xo,full,16,agent,3177,3042,30,214.29978522800002,1946.0866609997538,2728.328078999766,26.960652827585427,3177,30,,
prefix-cache-off/full,1,0,exp-full-t1/config-deep-merge__YE5k6Xo,full,17,agent,3288,3173,15,217.4302334150002,2045.3368369999225,2429.393857999912,27.41003842857026,3288,15,,
prefix-cache-off/full,2,0,exp-full-t1/billing-decimal__9BUpQ5q,full,0,agent,795,578,23,0.004796704999989743,423.0156670000724,1065.8750759998838,29.19526949999222,795,23,,
prefix-cache-off/full,2,1,exp-full-t1/config-deep-merge__YE5k6Xo,full,0,agent,734,578,23,0.006779606999771204,468.59392200030925,1065.5890040002305,27.123892863631806,734,23,,
prefix-cache-off/full,2,1,exp-full-t1/config-deep-merge__YE5k6Xo,full,1,agent,952,730,23,1.2489578579998124,282.33372300019255,1143.494751000162,39.11524004545506,952,23,,
prefix-cache-off/full,2,1,exp-full-t1/config-deep-merge__YE5k6Xo,full,2,agent,1216,948,22,2.529838407999705,417.3245249999127,991.142587000013,27.29477052380822,1216,22,,
prefix-cache-off/full,2,1,exp-full-t1/config-deep-merge__YE5k6Xo,full,3,agent,1409,1212,25,3.6601132319997305,539.171952000288,1185.8917509998719,26.928150083316876,1409,25,,
prefix-cache-off/full,2,1,exp-full-t1/config-deep-merge__YE5k6Xo,full,4,agent,1543,1405,46,5.019815717999791,594.8057400000835,1809.2154280002433,26.97089342222575,1543,46,,
prefix-cache-off/full,2,0,exp-full-t1/billing-decimal__9BUpQ5q,full,1,agent,989,791,153,1.310001010999713,535.984290000215,6539.341264000086,39.493559223684,989,153,,
prefix-cache-off/full,2,1,exp-full-t1/config-deep-merge__YE5k6Xo,full,5,agent,1614,1539,25,7.226796688999912,622.0256910000899,1596.014125000238,40.5601010000017,1614,25,,
prefix-cache-off/full,2,0,exp-full-t1/billing-decimal__9BUpQ5q,full,2,agent,1165,985,23,8.230307976999939,397.9547989997627,1687.3940069999662,58.59173590910029,1165,23,,
prefix-cache-off/full,2,1,exp-full-t1/config-deep-merge__YE5k6Xo,full,6,agent,1796,1610,30,9.04071579399988,771.6498439999668,2073.1967619999523,44.861649310342756,1796,30,,
prefix-cache-off/full,2,1,exp-full-t1/config-deep-merge__YE5k6Xo,full,7,agent,1870,1792,21,11.59719710399986,802.9983469996296,1366.6076559998146,28.143037200015897,1870,21,,
prefix-cache-off/full,2,0,exp-full-t1/billing-decimal__9BUpQ5q,full,3,agent,1524,1161,63,10.340341025999805,599.414894000347,3904.642112000147,53.30286127418877,1524,63,,
