label,concurrency,worker,session_id,variant,call_index,kind,prompt_tokens,reuse_tokens,output_tokens,t_start_s,ttft_ms,e2e_ms,itl_ms_mean,server_prompt_tokens,server_output_tokens,server_cached_tokens,error
prefix-cache-off/full,2,1,pilot-noguard-full-t1/daterange-inclusive__jHHCt6Y,full,0,agent,707,564,23,0.005211878000068282,477.6635590000069,1210.1266099999748,33.2760941363662,707,23,,
prefix-cache-off/full,2,1,pilot-noguard-full-t1/daterange-inclusive__jHHCt6Y,full,1,agent,912,703,60,1.398041744000011,286.5834049999876,2580.074513999989,38.8616980677972,912,60,,
prefix-cache-off/full,2,1,pilot-noguard-full-t1/daterange-inclusive__jHHCt6Y,full,2,agent,995,908,38,4.17314855699999,311.92060400007904,1614.7338970000646,35.200703513513304,995,38,,
prefix-cache-off/full,2,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,1,agent,975,777,163,1.3986603839999816,581.8235650000361,6721.53244399999,37.89465461728401,975,163,,
prefix-cache-off/full,2,1,pilot-noguard-full-t1/daterange-inclusive__jHHCt6Y,full,3,agent,1166,991,95,5.960285999000007,406.222261000039,3870.253164000019,36.843144712765884,1166,95,,
prefix-cache-off/full,2,1,pilot-noguard-full-t1/daterange-inclusive__jHHCt6Y,full,4,agent,1284,1162,38,10.526897802000008,505.17803299999287,1730.6627840000601,33.10210916216371,1284,38,,
prefix-cache-off/full,2,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,2,agent,1161,971,98,8.465654846999996,416.1541029999398,3941.61743199993,36.34068825773195,1161,98,,
prefix-cache-off/full,2,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,3,agent,1283,1157,21,12.711008149000008,462.7702620000491,1655.7020430000193,59.60780479999812,1283,21,,
prefix-cache-off/full,2,1,pilot-noguard-full-t1/daterange-inclusive__jHHCt6Y,full,5,agent,1461,1280,78,12.72278479199997,1024.329087999945,4001.832760999946,38.657229779220884,1461,78,,
prefix-cache-off/full,2,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,4,agent,1390,1279,23,15.57762239300007,593.2314179999594,1276.9262690000005,31.05941681818339,1390,23,,
prefix-cache-off/full,2,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,5,agent,1503,1386,23,17.522811355000044,713.2047490000559,1471.5783139999985,34.44294481818133,1503,23,,
prefix-cache-off/full,2,1,pilot-noguard-full-t1/daterange-inclusive__jHHCt6Y,full,6,agent,1563,1457,29,17.061175869000067,585.5487699999458,2031.60118400001,51.630767357145096,1563,29,,
prefix-cache-off/full,2,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,6,agent,1808,1499,23,21.070843139999965,804.3454229999725,1525.4036479999513,32.75616399999783,1808,23,,
prefix-cache-off/full,2,1,pilot-noguard-full-t1/daterange-inclusive__jHHCt6Y,full,7,agent,1974,1559,73,19.735228012999983,874.9543610000501,4711.207489000003,53.26895686111123,1974,73,,
prefix-cache-off/full,2,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,7,agent,1949,1804,21,23.176441700000055,874.4616259999702,1498.0549430000565,31.16024525000398,1949,21,,
prefix-cache-off/full,2,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,8,agent,2015,1945,23,25.31282262100001,1431.030680000049,2166.2305060000335,33.39435100000091,2015,23,,
prefix-cache-off/full,2,1,pilot-noguard-full-t1/daterange-inclusive__jHHCt6Y,full,8,agent,2070,1970,29,24.83707357800006,999.3805430000293,2774.6678849999853,63.38459760714191,2070,29,,
prefix-cache-off/full,2,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,9,agent,2252,2011,21,29.04406127699997,1356.6549860000805,2032.286738000039,33.740355850000014,2252,21,,
prefix-cache-off/full,2,1,pilot-noguard-full-t1/daterange-inclusive__jHHCt6Y,full,9,agent,2354,2066,60,28.010665018000054,1218.428390999975,5408.107006999899,71.00687808474504,2354,60,,
prefix-cache-off/full,2,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,10,agent,2318,2248,23,31.696730940000066,1209.5565309999756,1918.128796000019,32.19005345454723,2318,23,,
prefix-cache-off/full,2,1,pilot-noguard-full-t1/daterange-inclusive__jHHCt6Y,full,10,agent,2438,2350,29,33.662416226999994,1280.3863849999289,3560.2034879999565,81.40327100000329,2438,29,,
prefix-cache-off/full,2,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,11,agent,2533,2314,39,34.479035299999964,1830.081707999966,3148.5146449999775,34.683576657893184,2533,39,,
prefix-cache-off/full,2,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,12,agent,2666,2529,39,38.19873137100001,2461.454181000022,3819.5298719999755,35.72574007894577,2666,39,,
